cuisine_a,cuisine_b,n_restaurants,mean_CredR_pair,mean_CredR_solo,rating_premium,mean_cost_pair,mean_cost_solo,cost_premium
Cafe,Chinese,84,3.635321047392761,3.417788597576265,0.2175324498164959,732.1428571428571,765.5101230647082,-33.36726592185107
Chinese,Italian,207,3.6338996101617083,3.418107733520813,0.21579187664089527,1102.8985507246377,844.050042408821,258.84850831581673
Italian,Mediterranean,33,3.8787311770950628,3.6744797075403657,0.20425146955469708,1456.060606060606,1255.7228915662652,200.33771449434084
Chinese,Seafood,43,3.5895974865414546,3.390057950365972,0.1995395361754828,1283.7209302325582,780.1318888365521,503.5890413960061
Continental,North Indian,440,3.6001334638703537,3.4034038330352923,0.19672963083506145,1381.0227272727273,731.2107142857143,649.812012987013
American,Italian,56,3.804360164648241,3.617086591410972,0.18727357323726856,1378.5714285714287,1157.248322147651,221.32310642377774
Cafe,North Indian,68,3.6040119106304567,3.429179050488148,0.1748328601423088,883.8235294117648,774.9458589405912,108.87767047117359
Continental,European,36,3.83100191630409,3.6677869598964388,0.16321495640765127,2100.0,1327.8846153846155,772.1153846153845
Chinese,Continental,282,3.569305410655825,3.4209124031056435,0.14839300755018137,1171.985815602837,837.6977777777778,334.2880378250592
Biryani,Mughlai,34,3.514750463187073,3.375301316126335,0.13944914706073774,602.9411764705883,779.0672963400236,-176.12611986943534
Beverages,Desserts,37,3.6348231545725804,3.49600071226769,0.13882244230489027,477.02702702702703,433.2229965156794,43.804030511347605
Desserts,Fast Food,146,3.5130736803525844,3.380300537369767,0.1327731429828174,482.8767123287671,466.45701096364684,16.41970136512026
Continental,Italian,263,3.734879513657794,3.61070185438899,0.12417765926880397,1323.574144486692,1232.5187969924812,91.05534749421076
Chinese,Desserts,41,3.527894477561676,3.4064053684268534,0.12148910913482247,650.0,719.5029585798817,-69.50295857988169
Continental,Mughlai,33,3.6094428631891216,3.4993036702877873,0.11013919290133423,1280.3030303030303,1017.3082386363636,262.99479166666663
Asian,Continental,66,3.7686061723525235,3.6591046935302844,0.10950147882223904,1506.060606060606,1308.4016393442623,197.65896671634368
Burger,Fast Food,132,3.4562537801612674,3.3609995889615174,0.09525419119974998,497.72727272727275,480.672268907563,17.055003819709725
Italian,Mexican,80,3.75871218251051,3.664297185485989,0.09441499702452072,1066.25,1244.453642384106,-178.20364238410593
Continental,Mediterranean,34,3.766358235002275,3.6726521418515348,0.09370609315074008,1420.5882352941176,1324.21875,96.36948529411757
Asian,Italian,31,3.7648130842432916,3.679859940582973,0.08495314366031881,1480.6451612903227,1270.7894736842106,209.85568760611204
Desserts,North Indian,42,3.5010500886674847,3.418047593639662,0.08300249502782275,677.3809523809524,746.4577817005002,-69.07682931954776
Continental,Mexican,47,3.746110540757312,3.6633479533041995,0.0827625874531126,1041.4893617021276,1296.7696629213483,-255.28030121922075
Japanese,Thai,41,3.6852807079712813,3.612472313148562,0.07280839482271917,1937.8048780487804,1268.5929648241206,669.2119132246598
Finger Food,Italian,32,3.7087991248938748,3.640232040159504,0.0685670847343709,1817.1875,1277.654867256637,539.5326327433629
Beverages,Fast Food,68,3.433298387733813,3.3687975105999475,0.06450087713386532,401.47058823529414,471.0543130990415,-69.58372486374736
Continental,Fast Food,43,3.5135316890323947,3.4491249172019782,0.06440677183041643,782.5581395348837,725.9597378277153,56.598401707168364
Bakery,Fast Food,184,3.430580739876389,3.37018426636377,0.06039647351261879,350.8152173913044,487.3562537048014,-136.54103631349705
Biryani,North Indian,69,3.4491217256744635,3.404059615179918,0.04506211049454567,634.7826086956521,790.8447871270533,-156.0621784314012
Continental,Thai,38,3.6901638619006367,3.6464387907790656,0.04372507112157109,1363.157894736842,1299.814126394052,63.3437683427901
Bakery,Desserts,219,3.4961232043124233,3.4631866021288302,0.03293660218359307,449.634703196347,437.0567375886525,12.577965607694523
Asian,Thai,43,3.7140548511258937,3.687949500156124,0.026105350969769514,1493.0232558139535,1362.7118644067796,130.31139140717391
Desserts,Street Food,36,3.4813582114392028,3.461118838737415,0.020239372701787772,465.27777777777777,377.029702970297,88.24807480748075
Bakery,Chinese,30,3.4125912237411007,3.3953790902215295,0.017212133519571182,440.0,716.1731735601082,-276.17317356010824
Fast Food,Street Food,77,3.380923525693562,3.367057308885517,0.013866216808045007,439.61038961038963,437.4761101742552,2.1342794361344204
Italian,Lebanese,33,3.6672511616129246,3.659799004603882,0.007452157009042448,969.6969696969697,1236.24213836478,-266.54516866781023
Fast Food,Italian,111,3.4551642337393695,3.4507862125441844,0.0043780211951851555,786.0360360360361,686.6700715015322,99.36596453450386
North Indian,Street Food,150,3.386838667992861,3.404321969385572,-0.017483301392711148,441.6666666666667,762.9278550630863,-321.26118839641964
Chinese,Street Food,94,3.366598482770466,3.3882684086010557,-0.021669925830589687,461.70212765957444,721.882755669662,-260.1806280100875
South Indian,Street Food,98,3.3597646601724436,3.383746310994155,-0.02398165082171122,469.38775510204084,411.1946902654867,58.19306483655413
Fast Food,Mithai,51,3.333048499360022,3.3583220980996074,-0.025273598739585346,480.3921568627451,446.6824644549763,33.709692407768785
Mughlai,North Indian,705,3.3659686417356314,3.416812365121197,-0.05084372338556564,817.2624113475177,777.3423044575273,39.92010688999039
Mithai,South Indian,90,3.313425148814832,3.365587692420839,-0.05216254360600692,472.77777777777777,440.508166969147,32.26961080863077
North Indian,South Indian,320,3.3493359012320703,3.409908022828741,-0.06057212159667058,595.0625,791.6531547409235,-196.59065474092347
Fast Food,Raw Meats,76,3.3022369871962822,3.364349936650827,-0.06211294945454471,351.9736842105263,480.02726653033403,-128.05358231980773
Chinese,Mithai,83,3.32008855737486,3.3837231760830346,-0.06363461870817444,460.8433734939759,746.5568592057762,-285.7134857118003
Chinese,Fast Food,377,3.324777899791021,3.3885657689370343,-0.06378786914601342,511.14058355437663,685.7578875171467,-174.6173039627701
Chinese,North Indian,1467,3.3684577726224005,3.433472582540209,-0.0650148099178085,798.9570552147239,768.3090246125797,30.648030602144217
Fast Food,South Indian,109,3.303833038176537,3.369847197627239,-0.06601415945070199,471.10091743119267,488.2398667406996,-17.138949309506927
Mithai,Street Food,177,3.336836191500079,3.405299325548196,-0.06846313404811699,313.84180790960454,277.21649484536084,36.6253130642437
Fast Food,North Indian,411,3.320975872336397,3.4048479196848285,-0.08387204734843134,539.294403892944,715.8427571351642,-176.54835324222017
Chinese,South Indian,268,3.3122926379412285,3.3998015236192844,-0.08750888567805593,541.4925373134329,780.5542168674699,-239.06167955403703
Chinese,Mughlai,323,3.3107379274007944,3.4028786757018388,-0.09214074830104435,788.8544891640867,779.6089630931459,9.245526070940741
Mithai,North Indian,105,3.3092427978978924,3.4042235988389806,-0.09498080094108818,460.95238095238096,773.8446346280448,-312.8922536756638
Desserts,Ice Cream,102,3.436149971278694,3.532955656404439,-0.09680568512574528,357.3529411764706,448.34090909090907,-90.98796791443846
North Indian,Raw Meats,53,3.3047315395851604,3.404676360898381,-0.0999448213132208,359.4339622641509,795.8061258835409,-436.37216361938994
American,Fast Food,103,3.2815564956095877,3.4011782152098124,-0.11962171960022472,572.8155339805825,540.1872175597159,32.628316420866554
Fast Food,Pizza,165,3.2274873075936785,3.3889970726242185,-0.16150976503053993,690.6060606060606,475.8679373723622,214.73812323369845
Italian,Pizza,93,3.437897670457773,3.609021958142584,-0.17112428768481136,895.1612903225806,1150.0,-254.8387096774194
Fast Food,Healthy Food,65,3.1813405247164446,3.377738847880647,-0.19639832316420236,492.3076923076923,477.18547341115436,15.122218896537959
Fast Food,Salad,62,3.1557826372533606,3.3741863568114896,-0.21840371955812898,496.7741935483871,476.7109634551495,20.063230093237564
Healthy Food,Salad,82,3.256057923882471,3.563184367519109,-0.3071264436366379,527.439024390244,596.1016949152543,-68.6626705250103
American,Healthy Food,63,3.1807764943365218,3.6699628625507508,-0.489186368214229,503.968253968254,1048.7443946188341,-544.7761406505801
American,Salad,62,3.1575470514824673,3.7091410144340995,-0.5515939629516322,504.03225806451616,1176.3736263736264,-672.3413683091103
